1	? RT @justinbiebcr : The bigger the better .... if you know what I mean ;)	, ~ @ ~ D A D A , P O V O O V E	positive
2	Listening to the " New Age " station on @SlackerRadio ? http://slacker.com/r/nqKf	V P D , A N , N P @ , U	positive
4	i didnt mean knee high I ment in lengt it goes down to my knees ^-^ and is so cute I love it !	O V V N N O V P N O V T P D N E & V R A O V O ,	positive
5	if my mom went on for the love of ray J or any reality show i'd bee pissed .	P D N V P P D N P ^ ^ & D N N L V A ,	negative
7	@Mrhilton1985 Welcome to Twitter xx	@ V P ^ E	positive
8	@kjbmusic oh yeah ... however , I'd still like to be in the midst of it all though ... u know ...	@ ! ! , R , L R V P V P D N P O D P , O V ,	positive
10	I need a nice tea-drinking pic for our #Tea Club Membership page - anyone got one they'd be happy for me to use ? http://bit.ly/b1PWLh	O V D A N N P D ^ ^ ^ N , N V $ L V A P O P V , U	positive
11	@JonathanRKnight so twitpic it lol , I love Home Depot , love working w/my hands and building things , my dad was in construction	@ P V O ! , O V N N , V V D N & V N , D N V P N	positive
12	@BarCough it's enough to make you sick , eh ? there's nothing sacred anymore	@ L R P V O A , ! , L N A R	negative
13	Hacienda is now level 80 time to get epic gear for her !!!! Oh and maybe some sleep would be good ..	^ V R N $ N P V A N P O , ! & R D N V V A ,	positive
15	" Iran , with its unity and God's grace , will punch the arrogance ( West ) 22nd of Bahman ( Feb 11 ) in a way that will leave them stunned , "	, ^ , P D N & Z ^ , V V D N , ^ , $ P ^ , ^ $ , P D N P V V O V , ,	negative
16	@TiffyStarz wtf , where i come from noone likes metal and hardcore , like 5 of my mates max are fully into metal , it sucks , i love metalll : L	@ ! , R O V P N V N & N , P $ P D N ^ V R P N , O V , O V N , G	positive
18	#4WordsOnObamasHand Don't Say The N-Word	# V V D N	negative
19	City watchdog in chaos as chief executive Hector Sants resigns just months before general election	N N P N P N N ^ ^ V R N P A N	negative
20	RT @MangaUK : God it is a big news day today ! By popular demand , " Ah ! My Goddess Season 2 " will be released in 3 2-disc sets : May , Jul , Sep .	~ @ ~ ^ O V D A N N N , P A N , , ! , D N N $ , V V V P $ N N , ^ , ^ , ^ ,	positive
22	@russmarshalek Sold ! Would love to be your crazyass big sis -- how could I say no ?! Cannot believe I broke or minimally battered my toe --	@ V , V V P V D N A N , R V O V ! , V V O V & R V D N ,	positive
23	@zzramesses yes ; hope to release that feature next month	@ ! , V P V D N A N	positive
25	i need money ! i need new car !!! jesus ... somebody please buy my old car :DDD	O V N , O V A N , ^ , N V V D A N E	negative
